;KONE»N… POÿADÕ SPAC 2009;;;;;;;;;;;;;;;;;;;;;;;
;12. roËnÌk;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sta¯ÌË;Mlyn.;Krnov;Bohum.;Velk·;Tour de;Tour de;Memor.;MR SAC;MR SAC;Barto-;5hod.;Stonav.;VC;Paskov.;MokrÈ;Petrov.;;;
po¯adÌ;p¯ÌjmenÌ;jmÈno;klub;11 nej;Ëas.;Ëas.;;Ëas.;Polom;S·dek;Javor.;A.Dohn.;Ëas.;siln.;öovice;Bohum.;Ëas.;Laöska;kriù·k;Lazce;Ëas.;celkem;;
32.;TOME»EK;LubomÌr;FORMAN CYCLING TEAM;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;30;0;70;99;0
33.;CIMB¡LNÕK;Pavel;CYKLO  MXM  HULÕN;65;0;0;0;0;0;0;34;0;0;0;0;0;0;31;0;0;0;65;99;0
34.;PIETROSZ;Tom·ö;TÿINEC;64;16;19;0;0;DNF;0;0;0;29;0;0;0;0;0;0;0;0;64;99;0
35.;POLOK;Marek;CK  HOBBY  BOHUMÕN  ;61;0;0;0;0;0;0;0;0;0;0;23;22;0;0;16;0;0;61;99;0
36.;BROé;MatÏj;ODLO SPECIALIZED;60;0;0;0;0;0;0;0;0;0;0;0;0;0;29;31;0;0;60;99;0
37.;GRUCHALA;VojtÏch;SK  JIÿÕ  TEAM  OSTRAVA;60;13;12;0;0;0;0;0;0;0;0;0;0;26;0;0;9;0;60;99;0
38.;ROHEL;B¯etislav;FORMAN CYCLING TEAM;60;0;0;0;0;0;29;0;0;0;0;0;0;0;0;DNF;31;0;60;99;0
39.;MUSIOL;Jakub;YOGI RACING TEAM OSTRAVA  ;58;0;30;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;58;99;0
40.;PARMA;Krzysztow;ASZ KUL LUBLIN;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;31;56;99;0
41.;MÕ»EK;Ond¯ej;ACK STAR¡ VES n.O.  "A";52;0;0;0;0;0;0;0;0;0;0;0;0;0;28;24;0;0;52;99;0
42.;CHMEL;Michal;OLL  TRAININK;50;0;0;0;0;0;0;0;25;0;0;25;0;0;0;0;0;0;50;99;0
43.;KVARDA;Roman;RACING OLEäN¡,  F-M  2;45;17;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;45;99;0
44.;äTAINER;Pavel;;43;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;24;0;43;99;0
45.;GEORGES;Martin;VCR  REGENSBURG;40;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;40;99;0
46.;SCHAUFBAUER;Josef;VCR  REGENSBURG;36;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;36;99;0
47.;MICHALEK;Mariusz;TJ  Té  TÿINEC;36;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;36;99;0
48.;HAMAN;Martin;SUPERIOR RIDERS;36;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;36;99;0
49.;»ER;Tom·ö;CK KOLOKR¡M.CZ-SVIANY;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;36;99;0
50.;RODRY»;Michal;TJ BANÕK OSTRAVA;34;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;99;0
