;KONEÈNÉ POØADÍ SPAC 2007;;;;;;;;;;;;;;;;;;;;
;10. roèník;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;9 nej.;TdÈ;Boh;VP;TdJ;FT;KG;ŽD;5hod;VC L;krit;M60;PÈ;2boj;èas;celkem;;
40;KAUER;Adam;BIKE 2000;57;29;0;28;0;0;0;0;0;0;0;0;0;0;0;57;131;0
41;KREJÈOK;Marek;YOGI RACING OSTRAVA;55;0;0;0;0;27;0;0;0;28;0;0;0;0;0;55;131;0
42;URBANCZYK;Pawel;TWOMARK CANNONDALE;54;0;0;0;26;28;0;0;0;0;0;0;0;0;0;54;131;0
43;DLUŽANSKÝ;Daniel;MAPEI CYKLO KAÒKOVSKÝ;53;0;0;0;0;0;0;0;0;22;31;0;0;0;0;53;131;0
44;NEPRAŠ;Karel;TJ Slezan F-M;53;0;0;0;0;0;0;0;0;15;38;0;0;0;0;53;131;0
45;CIESLAR;Tomasz;FELT-MONTAN STAL;51;0;0;0;15;0;0;0;36;0;0;0;0;0;0;51;131;0
46;POSPÍŠIL;Zdenìk;VORTEX BIKE TEAM;47;0;0;0;0;0;0;0;0;21;0;0;0;0;26;47;131;0
47;TICHÝ;Petr;SKI VELO OLOMOUC;44;0;0;0;0;0;25;19;0;0;0;0;0;0;0;44;131;0
48;VELECKÝ;Tomáš;YOGI RACING OSTRAVA;40;0;0;40;0;0;0;0;0;0;0;0;0;0;0;40;131;0
49;ZITTA;Pavel;KOLOR SERVIS TEAM;40;0;0;0;0;0;0;40;0;0;0;0;0;0;0;40;131;0
50;KLÍMA;Jiøí;;40;0;0;0;0;0;0;0;0;0;0;0;0;0;40;40;131;0
51;SWACZYNA;Petr;FESO PETØVALD;38;0;0;0;38;0;0;0;0;0;0;0;0;0;0;38;131;0
52;POHANKA;Libor;ETAPE DUKLA BRNO;38;0;0;0;0;0;0;38;0;0;0;0;0;0;0;38;131;0
53;HOLÁŠEK;Marek;SK VALAŠSKÉHO KRÁLOVSTVÍ;37;16;0;0;0;0;0;0;0;7;14;0;0;0;0;37;131;0
54;OCÁSEK;Martin;GOOFY team;36;0;0;0;0;0;36;0;0;0;0;0;0;0;0;36;131;0
55;NOVOTNÝ;Viktor;ZHOR TEAM;36;0;0;0;0;0;0;36;0;0;0;0;0;0;0;36;131;0
56;SATINSKÝ;Tomáš;SKANIA APASCH;36;0;0;0;0;0;0;0;0;0;36;0;0;0;0;36;131;0
57;POSPÍŠIL;Petr;SK VALAŠSKÉHO KRÁLOVSTVÍ;35;9;0;19;0;0;7;0;0;0;0;0;0;0;0;35;131;0
58;ROHEL;Bøetislav;SUNDANCE OPAVA;34;0;0;0;0;34;0;0;0;0;0;0;0;0;0;34;131;0
59;KASZUBA;Martin;DOBRAVA;34;0;0;0;0;0;0;0;0;34;0;0;0;0;0;34;131;0
60;TREML;Daniel;;34;0;0;0;0;0;0;0;0;0;0;0;0;0;34;34;131;0
61;KONEÈNÝ;Lukáš;CK VLASTIBOR KONEÈNÝ;33;33;0;0;0;0;0;0;0;0;0;0;0;0;0;33;131;0
