;KONEÈNÉ POØADÍ SPAC 2005;;;;;;;;;;;;
;8. roèník;;;;;;;;;;;;
;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;
;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;5 nej;Èas.Bohum.;V.Polom;Osobl.výb.;Èas.dvojic;TdJ;VC VK;M 60;celkem;
7.;MECNER;Bohumil;SK SPURT OSTRAVA;32,5;7,5;7;6;0;0;12;0;32,5;9
8.;OTÝPKA;Jan;YOGI RACING OSTRAVA;18;0;8;0;0;0;0;10;18;9
9.;KUBÍÈEK;Alfréd;TJ TŽ TØINEC;5;5;0;0;0;0;0;0;5;9
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Kategorie E;;;;;;;;;;;;
;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;5 nej;Èas.Bohum.;V.Polom;Osobl.výb.;Èas.dvojic;TdJ;VC VK;M 60;celkem;
1.;HOMOLA;Petr;SK ŠAFRATA BOHUMÍN;90;15;0;15;15;15;30;0;90;7
2.;FAJKUS;Zdenìk;RACING OLEŠNÁ,  F-M;61;0;15;10;0;12;24;0;61;7
3.;RAŠKA;František;CK VALAŠSKÉ KRÁLOVSTVÍ;58;8;12;8;0;10;20;0;58;7
4.;GLOGAR;Jan;YOGI RACING OSTRAVA;24;12;0;12;0;0;0;0;24;7
5.;VESELÝ;Petr;TJ TŽ TØINEC;10;10;0;0;0;0;0;0;10;7
6.;MIKOLAJCZYK;Zdenìk;YOGI RACING OSTRAVA;7;7;0;0;0;0;0;0;7;7
7.;KLEPETEK;Sobìsav;SK ŠAFRATA BOHUMÍN;0;0;0;0;0;0;0;0;0;7
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Kategorie Ž;;;;;;;;;;;;
;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;5 nej;Èas.Bohum.;V.Polom;Osobl.výb.;Èas.dvojic;TdJ;VC VK;M 60;celkem;
1.;PETØÍÈKOVÁ;Alena;CK ORLÍK ORLOVÁ;87;12;0;15;0;15;30;15;87;7
2.;UBLANSKÁ;Kamila;CK ORLÍK ORLOVÁ;51;10;0;7;0;6;20;8;51;7
3.;DVOROKOVÁ;Kristina;CK ORLÍK ORLOVÁ;48;0;0;12;0;12;24;0;48;7
4.;PÍTROVÁ;Zuzana;CK VALAŠSKÉ KRÁLOVSTVÍ;45;0;0;10;15;8;0;12;45;7
5.;KEMPNÁ;Daniela;SK ŠAFRATA BOHUMÍN;30;15;15;0;0;0;0;0;30;7
6.;HALMOVÁ;Eva;CK ORLÍK ORLOVÁ;28;0;0;8;0;10;0;10;28;7
7.;KRPCOVÁ;Marie;CK VALAŠSKÉ KRÁLOVSTVÍ;14;8;0;6;0;0;0;0;14;7
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Družstva;;;;;;;;;;;;
;klub;;;5 nej;Èas.Bohum.;V.Polom;Osobl.výb.;Èas.dvojic;TdJ;VC VK;M 60;celkem;
1.;SK ŠAFRATA BOHUMÍN;;;184;31,5;37;34,5;0;27,5;51;30;211,5;
2.;CK VALAŠSKÉ KRÁLOVSTVÍ;;;177,5;26;25,5;29,5;32,5;20,5;60;29,5;223,5;
3.;CK ORLÍK ORLOVÁ;;;143;12,5;0;23,5;0;25,5;57;24,5;143;
4.;YOGI RACING OSTRAVA;;;107,5;23;0;24,5;0;0;40;20;107,5;
5.;TJ NOVÝ BOHUMÍn;;;98;16;17;19;0;0;29;17;98;
6.;RACING OLEŠNÁ,  F-M;;;90;14;25;0;0;28,5;0;22,5;90;
7.;TJ TŽ TØINEC;;;59;28;0;0;0;31;0;0;59;
