;KONE»N… POÿADÕ SPAC 2010;;;;;;;;;;;;;;;;;;;;;;;
;13. roËnÌk;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;»asovka;;;;;;;;;;;;;;;
;;;;;Sta¯ÌË;Tour de;Mlyn.;O cenu;VelkÈ;Velk·;Tour de;Tour de;Memor.;Cena;5 hod;Stonav.;VC;Paskov.;MokrÈ ;Petrov.;»asovka;;;
po¯adÌ;p¯ÌjmenÌ;jmÈno;klub;11 nej;Ëas.;»upek;Ëas.;Krnova;Heral.;Polom;S·dek;Javor.;A.Dohn.;Continen;BohumÌn;Ëas.;Laöska;kriù·k;Lazce;Ëas.;Kr·sn·;celkem;zavodniku;licence
1.;CIMB¡LNÕK;Pavel;CYKLO  MXM  HULÕN;435,7;0;35,2;41,8;0;44,6;30,8;0;44;30,8;37,4;0;44;35,8;18,7;36,3;41,8;44;485,2;122;1
2.;äUSTR;VilÈm;ACK STAR¡ VES n.O.  "B";400,5;41,8;16,5;44;29,7;46,8;DNF;17,6;34,1;35,2;28,6;0;0;24,8;22;29,7;44;41,8;456,6;122;1
3.;PAVLÕK;Jan;RACING OLEäN¡,  F-M  1;360,9;36,3;13,2;33;0;35,8;23,1;27,5;30,8;0;26,4;36,3;33;31,4;0;23,1;36,3;34,1;420,3;122;1
4.;CHAMR¡D;Ji¯Ì;TJ  KOLÕK  BOHUMÕN  1;360,3;34,1;0;0;27,5;0;24,2;31,9;39,6;34,1;36,3;0;0;33,6;0;30,8;33;35,2;360,3;122;1
5.;äKODA;Kristi·n;CK  FRENäT¡T  p. R.  1;313;35,2;25,3;35,2;23,1;36,9;16,5;9,9;29,7;28,6;20,9;34,1;0;0;0;1,1;27,5;0;324;122;1
6.;GRUCHALA;VojtÏch;TRIATLON  KLUB  OSTRAVA;286,6;29,7;7,7;31,9;16,5;30,3;9,9;5,5;20,9;26,4;16,5;33;29,7;16;13,2;3,3;26,4;25,3;342,2;122;1
7.;BOLLO;Roman;YOGI  RACING  OSTRAVA  1;270,7;0;11;0;0;42,4;13,2;7,7;0;0;27,5;0;34,1;28,1;15,4;14,3;39,6;37,4;270,7;122;1
8.;TOMAN;Petr;FORMAN  CYCLING  TEAM;265,1;0;15,4;0;0;0;27,5;20,9;31,9;36,3;24,2;39,6;0;DQ;34,1;35,2;0;0;265,1;122;1
9.;Z¡RUBA;Petr;ACK STAR¡ VES n.O.  "A";259,1;0;0;0;30,8;0;0;0;37,4;29,7;29,7;0;41,8;38;19,8;31,9;0;0;259,1;122;1
10.;MUSIOL;Jakub;YOGI  RACING  OSTRAVA  1;256,4;0;8,8;34,1;0;32,5;12,1;0;22;0;23,1;0;35,2;23,7;0;5,5;30,8;28,6;256,4;122;1
11.;FOLT›N;Ji¯Ì;CK  HOBBY  BOHUMÕN;248,6;0;DNF;0;26,4;0;0;11;28,6;0;25,3;35,2;36,3;0;12,1;9,9;34,1;29,7;248,6;122;1
12.;HUDE»EK;Petr;FORMAN  CYCLING  TEAM;229;0;25;0;0;0;36;0;0;36;0;40;0;38;30;24;0;0;229;122;0
13.;DAVÕDEK;Petr;CK  FESO  PETÿVALD;217;0;16;34;34;0;DNF;12;22;30;18;0;0;11;32;8;0;0;217;122;0
14.;JAVOREK;Petr;ACK STAR¡ VES n.O.  "A";210,7;0;24,2;0;0;0;19,8;28,6;36,3;0;0;0;0;40,2;30,8;0;0;30,8;210,7;122;1
15.;MAREK;Jaroslav;FORMAN  CYCLING  TEAM;195;0;36;0;0;0;40;0;0;0;38;0;0;23;36;22;0;0;195;122;0
16.;MÕ»EK;Ond¯ej;ACK STAR¡ VES n.O.  "A";189,8;0;0;0;25,3;0;18,7;15,4;0;0;0;41,8;0;39,1;27,5;22;0;0;189,8;122;1
17.;MUSIOL;Luk·ö;YOGI  RACING  OSTRAVA  1;181,6;0;0;0;0;31,4;11;0;23,1;0;17,6;0;30,8;13,8;0;1,1;25,3;27,5;181,6;122;1
18.;BEZUNK;Ond¯ej;FORMAN  CYCLING  TEAM;175;0;24;0;0;0;DNF;15;0;34;17;34;0;12;33;6;0;0;175;122;0
19.;VELECK›;Tom·ö;YOGI  RACING  OSTRAVA  2;168,4;0;0;0;0;0;38;0;0;0;0;0;0;49;0;41,8;0;39,6;168,4;122;1
20.;BESTWINA;Michal;UKS SOKOL KETY;168;34;0;0;0;0;0;0;0;0;0;0;36;19;16;0;34;29;168;122;0
21.;UVÕRA;V·clav;CK  ORLÕK  ORLOV¡  1;166,7;0;DNF;0;0;0;0;0;25,3;0;0;0;37,4;22,6;0;16,5;31,9;33;166,7;122;1
22.;MALEJKA;Michal;UKS  SOKOL  KETY;161;0;30;0;0;0;31;0;0;0;32;0;0;34;0;34;0;0;161;122;0
23.;HLAVATÕK;Jan;ACK STAR¡ VES n.O.  "A";133,1;0;14,3;0;20,9;0;25,3;24,2;26,4;0;22;0;0;0;0;0;0;0;133,1;122;1
24.;HEINRICH;Luk·ö;FORMAN  CYCLING  TEAM;132;0;34;0;0;0;29;0;0;40;29;0;0;0;0;0;0;0;132;122;0
25.;KVAPULÕNSK›;Martin;SDH  STONAVA;120,5;39,6;DNF;39,6;0;41,3;0;0;0;0;0;0;0;0;0;0;0;0;120,5;122;1
26.;BROé;MatÏj;SUPERIOR RIDERS;116;0;0;0;0;0;0;0;0;0;0;0;0;36;40;40;0;0;116;122;0
27.;»ERN›;Viktor;FAVORIT  BRNO;115;0;0;0;0;0;0;23;0;0;28;0;0;27;26;11;0;0;115;122;0
28.;TOME»EK;LubomÌr;FORMAN  CYCLING  TEAM;113;0;0;0;0;0;DNF;36;0;38;0;0;0;0;27;12;0;0;113;122;0
29.;JANOäEK;Tom·ö;ACK STAR¡ VES n.O.  "A";112,2;0;30,8;0;39,6;0;0;0;41,8;0;0;0;0;0;0;0;0;0;112,2;122;1
30.;MLYN¡ÿ;ZdenÏk;MAX CURSOR;112;0;0;0;40;0;32;40;0;0;0;0;0;0;0;0;0;0;112;122;0
31.;SVÃNT›;Radek;HaF OPAVA;109;0;0;0;0;31;0;0;0;0;0;0;0;25;23;30;0;0;109;122;0
32.;HYNEK;Dominik;FORMAN  CYCLING  TEAM;108;0;40;0;0;0;DNF;0;0;0;0;0;0;13;24;31;0;0;108;122;0
33.;LITVIK;Miroslav;TEAM PONEK;101;0;0;0;26;0;14;0;30;0;31;0;0;0;0;0;0;0;101;122;0
34.;SWACZYNA;Petr;CK  FESO  PETÿVALD;101;0;31;0;0;0;34;0;DNF;0;36;DNF;0;0;0;0;0;0;101;122;0
35.;JOSEFÕK;Luk·ö;CYKLO  MXM  HULÕN;98;0;0;0;0;32;33;0;0;0;0;0;0;33;0;0;0;0;98;122;0
36.;»ER;Tom·ö;CK  KOLOKRAN  SVIANY;95;0;29;0;0;0;DNF;0;0;0;40;0;0;0;0;26;0;0;95;122;0
37.;KUSIDLO;Mariucz;UKS  SOKOL  KETY;94;0;21;0;0;0;26;0;0;0;0;0;0;22;0;25;0;0;94;122;0
38.;ROHEL;B¯etislav;FORMAN  CYCLING  TEAM;94;0;0;0;0;0;DNF;28;0;0;30;0;0;0;0;36;0;0;94;122;0
39.;KOPECK›;Tom·ö;ZHOR  TEAM;91;0;0;0;0;0;0;34;0;0;0;0;0;0;38;19;0;0;91;122;0
40.;NEPRAä;Karel;ACK STAR¡ VES n.O.  "A";90,8;0;0;0;41,8;49;0;0;0;0;0;0;0;0;0;0;0;0;90,8;122;1
